Domain;Total Visits;Average m Visits;Italy Percentage;Pages per View;6m Pageviews Italy;Source Direct;Source Mail;Source Referral;Source Social;Source Organic;Source Paid Search;Source Paid Display;IP1;ASN1;Netblock1;Country1;Company1;IP2;ASN2;Netblock2;Country2;Company2;IP3;ASN3;Netblock3;Country3;Company3
programme-tv.net;337500000;337540542.0;0.14;3.09;1460200;43.95;2.45;15.8;3.39;34.04;0.0;0.37;31.15.25.40;41628;31.15.24.0/21;FR;ALTERWAYHOSTING-NETWORK http://www.alterway.fr/, FR;;;;;;;;;;
programmitv.it;14500000;14499750.0;97.85;1.12;15890566;46.5;0.11;1.97;0.12;51.21;0.0;0.1;212.71.249.234;63949;212.71.248.0/21;GB;LINODE-AP Linode, LLC, SG;;;;;;;;;;
rai.it;77300000;77338494.0;86.15;7.16;477050126;36.08;0.79;18.86;4.54;39.65;0.0;0.07;212.162.68.90;8234;212.162.64.0/18;IT;RAI-AS , IT;;;;;;;;;;
rai.tv;92300000;92341020.0;88.35;4.17;340202324;32.76;0.58;31.03;4.8;30.71;0.0;0.12;212.162.68.90;8234;212.162.64.0/18;IT;RAI-AS , IT;;;;;;;;;;
rapidvideo.org;26700000;26658192.0;91.22;2.56;62253063;62.12;0.19;35.81;0.7;0.36;0.0;0.82;104.27.156.23;13335;104.27.144.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.27.157.23;13335;104.27.144.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
re-direcciona.me;39300000;39295236.0;0.29;4.75;541291;5.11;0.6;88.83;2.67;1.48;0.0;1.31;104.24.1.36;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.24.0.36;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
redbox.com;119600000;119609316.0;0.03;4.45;159678;59.93;3.16;8.57;0.79;26.35;1.15;0.05;206.18.125.29;17229;206.18.96.0/19;US;ATT-CERFNET-BLOCK - AT&T Enhanced Network Services, US;;;;;;;;;;
registroelettronico.com;17100000;17103192.0;99.79;4.87;83117630;48.6;0.88;44.8;0.61;4.74;0.0;0.38;109.168.108.171;5602;109.168.108.0/22;IT;Internet Service Provider, IT;;;;;;;;;;
ren.tv;159400000;159444648.0;0.23;1.67;612426;28.13;0.57;60.73;4.68;5.64;0.0;0.25;91.218.132.100;62026;91.218.132.0/24;RU;SKYPARKCDN-AS -=UPSTREAMS=-, RU;;;;;;;;;;
repelis.tv;236300000;236280114.0;0.22;4.78;2484721;0.0;0.0;0.0;0.0;0.0;0.0;0.0;104.20.89.80;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.20.88.80;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
rockol.it;11600000;11608506.0;90.17;2.7;28261952;10.02;0.83;6.44;12.53;70.12;0.0;0.06;91.212.167.45;47353;91.212.167.0/24;IT;UPPROVIDER , IT;;;;;;;;;;
rottentomatoes.com;365500000;365496114.0;0.95;2.92;10138862;38.54;0.35;8.57;1.91;50.57;0.0;0.05;52.41.154.179;16509;52.40.0.0/14;US;AMAZON-02 - Amazon.com, Inc., US;54.149.168.205;16509;54.148.0.0/15;US;AMAZON-02 - Amazon.com, Inc., US;52.27.77.35;16509;52.24.0.0/14;US;AMAZON-02 - Amazon.com, Inc., US
rtl.it;6000000;6036588.0;90.55;3.11;16999665;48.95;0.47;8.14;5.37;36.67;0.0;0.4;88.60.43.150;3269;88.60.0.0/16;IT;ASN-IBSNAZ , IT;;;;;;;;;;
russia.tv;100900000;100851816.0;0.6;2.39;1446215;31.05;0.64;24.43;2.01;41.78;0.0;0.09;80.247.32.208;25292;80.247.32.0/20;RU;VGTRK-AS , RU;;;;;;;;;;
rutube.ru;205700000;205694310.0;0.4;3.53;2904403;19.81;0.55;35.03;4.46;39.89;0.0;0.27;91.207.59.161;48061;91.207.58.0/23;RU;RUTUBE-AS , RU;;;;;;;;;;
scambiofile.info;8700000;8685288.0;96.71;3.39;28474447;60.84;0.37;6.61;0.36;31.35;0.0;0.47;46.30.212.64;51468;46.30.208.0/21;DK;ONECOM , DK;;;;;;;;;;
scoop.it;54400000;54415284.0;2.78;2.23;3373421;41.77;0.91;9.73;10.96;36.59;0.01;0.03;185.94.140.20;35280;185.94.140.0/24;FR;ACORUS , FR;;;;;;;;;;
seasonvar.ru;718800000;718755174.0;0.45;2.17;7018644;50.94;0.61;21.07;2.72;24.6;0.0;0.06;178.236.137.154;42775;178.236.128.0/20;GB;DSRT-NET , RU;178.236.137.156;42775;178.236.128.0/20;GB;DSRT-NET , RU;178.236.137.157;42775;178.236.128.0/20;GB;DSRT-NET , RU
sensacine.com;86300000;86272680.0;0.16;2.82;389262;0.0;0.0;0.0;0.0;0.0;0.0;0.0;62.39.143.50;199528;62.39.143.0/24;FR;ALCINE-AS , FR;;;;;;;;;;
serietvsubita.net;16900000;16850502.0;92.37;1.98;30818321;76.44;0.3;15.93;3.87;3.34;0.0;0.12;81.17.27.98;51852;81.17.16.0/20;CH;PLI-AS , CH;;;;;;;;;;
shutterstock.com;344600000;344566104.0;1.86;6.97;44670238;32.33;1.84;33.19;2.12;27.84;2.3;0.37;162.212.41.11;26941;162.212.41.0/24;US;SHUTTERSTOCK - Shutterstock Inc, US;;;;;;;;;;
sidereel.com;83600000;83613720.0;0.56;2.39;1119086;35.45;0.94;13.22;2.53;47.63;0.0;0.22;173.247.105.225;19073;173.247.104.0/21;US;BLUE-BOX-GRP - Blue Box Group, Inc., US;;;;;;;;;;
sky.com;353900000;353894700.0;0.26;3.51;3229643;49.26;3.51;14.35;8.05;23.33;1.05;0.46;90.216.128.5;5607;90.192.0.0/11;GB;BSKYB-BROADBAND-AS , GB;;;;;;;;;;
sky.it;92900000;92851404.0;94.54;4.34;380972653;31.58;3.19;29.06;5.15;29.21;0.54;1.27;185.26.140.70;60772;185.26.140.0/24;IT;SKYTV-AS , IT;185.26.142.70;60772;185.26.142.0/24;IT;SKYTV-AS , IT;185.26.142.195;60772;185.26.142.0/24;IT;SKYTV-AS , IT
skyonline.it;7300000;7262034.0;95.52;4.33;30035888;30.42;3.32;20.34;1.62;38.9;0.87;4.54;185.26.142.73;60772;185.26.142.0/24;IT;SKYTV-AS , IT;;;;;;;;;;
soundcloud.com;2100000000;2117778714.0;1.18;4.17;104207419;54.23;0.54;8.46;20.69;15.92;0.0;0.15;93.184.220.127;15133;93.184.220.0/24;EU;EDGECAST - EdgeCast Networks, Inc., US;;;;;;;;;;
soundsblog.it;14700000;14730702.0;93.26;1.26;17309694;9.7;0.01;2.76;2.32;85.15;0.0;0.05;52.48.241.167;16509;52.48.0.0/14;US;AMAZON-02 - Amazon.com, Inc., US;54.77.47.85;16509;54.76.0.0/15;US;AMAZON-02 - Amazon.com, Inc., US;;;;;
spotify.com;1100000000;1135002504.0;2.04;4.49;103961689;69.66;0.59;7.29;5.61;16.2;0.49;0.17;194.132.198.228;43650;194.132.196.0/22;SE;SPOTIFY , BG;194.132.197.147;43650;194.132.196.0/22;SE;SPOTIFY , BG;194.132.198.165;43650;194.132.196.0/22;SE;SPOTIFY , BG
startv.com.tr;105300000;105315906.0;0.01;5.74;0;24.76;0.24;20.24;5.86;48.54;0.13;0.23;81.21.172.22;8685;81.21.172.0/24;TR;DORUKNET , TR;;;;;;;;;;
staseraintv.com;90100000;90121272.0;97.36;4.65;408000627;55.1;0.63;6.98;0.86;36.35;0.0;0.08;62.149.128.160;31034;62.149.128.0/19;IT;ARUBA-ASN , IT;62.149.128.154;31034;62.149.128.0/19;IT;ARUBA-ASN , IT;62.149.128.157;31034;62.149.128.0/19;IT;ARUBA-ASN , IT
stream.cz;94500000;94490466.0;0.04;3.62;136822;30.13;1.69;57.85;5.71;4.52;0.01;0.09;77.75.77.220;43037;77.75.76.0/23;CZ;SEZNAM-CZ , CZ;;;;;;;;;;
streamay.com;44500000;44469168.0;0.41;3.74;681890;37.23;0.29;22.67;1.34;38.07;0.0;0.4;104.25.156.114;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.25.155.114;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
streamcomplet.com;115100000;115140120.0;0.39;4.81;2159913;31.21;0.22;16.17;1.12;50.81;0.0;0.46;104.18.39.96;13335;104.18.32.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.18.38.96;13335;104.18.32.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
subscene.com;402500000;402494340.0;0.61;4.89;12006003;58.75;0.44;25.92;1.76;12.45;0.0;0.69;104.24.6.4;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.24.7.4;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
subsfactory.it;8000000;7974582.0;95.25;2.59;19673094;73.85;0.35;10.83;1.9;12.97;0.0;0.1;94.23.17.163;16276;94.23.0.0/16;FR;OVH , FR;;;;;;;;;;
telecinco.es;139700000;139707060.0;0.37;2.73;1411181;37.85;0.41;9.96;12.76;38.36;0.0;0.66;213.4.97.111;6813;213.4.97.0/24;ES;FLEXNET Telefonica Soluciones, ES;;;;;;;;;;
televisionfanatic.com;126500000;126473238.0;1.23;1.32;2053419;29.34;0.15;21.19;1.05;2.56;1.12;44.59;74.113.234.61;14829;74.113.234.0/24;US;ASN-IWON - Mindspark Interactive Network, Inc., US;;;;;;;;;;
testitradotti.it;11100000;11111340.0;95.62;2.01;21355573;4.16;0.11;0.88;0.34;94.48;0.0;0.03;217.70.144.80;34081;217.70.144.0/20;IT;INCUBATEC-AS V. Scurcia_str. 36, IT;;;;;;;;;;
tf1.fr;191900000;191861166.0;0.15;3.71;1067707;26.15;0.58;17.37;12.1;43.69;0.01;0.1;185.22.116.72;49477;185.22.116.0/22;FR;E-TF1 , FR;;;;;;;;;;
thepiratebay.org;289700000;289724316.0;0.01;5.82;0;62.79;0.35;16.64;1.34;18.6;0.0;0.27;104.18.41.167;13335;104.18.32.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.18.40.167;13335;104.18.32.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
thepiratefilmes.com;63500000;63548592.0;0.03;5.28;100660;62.12;0.28;6.87;2.69;27.05;0.01;0.97;104.28.16.26;13335;104.28.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.28.17.26;13335;104.28.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
thesportstream.com;41900000;41946954.0;17.61;2.19;16177220;3.59;0.09;94.27;0.67;0.94;0.0;0.43;193.150.132.3;57707;193.150.132.0/23;CZ;GREENDATA , CZ;;;;;;;;;;
ticketone.it;21600000;21617934.0;89.01;5.36;103137779;20.91;2.96;22.18;5.89;41.95;5.75;0.36;95.101.78.139;20940;95.101.78.0/23;EU;AKAMAI-ASN1 , US;95.101.78.192;20940;95.101.78.0/23;EU;AKAMAI-ASN1 , US;;;;;
tnt-online.ru;139000000;139040802.0;0.25;2.99;1039329;23.88;0.83;29.95;4.78;40.38;0.0;0.18;178.248.232.36;197068;178.248.232.0/23;RU;QRATOR , RU;;;;;;;;;;
todaypk.com;52400000;52364466.0;0.21;2.99;328796;24.23;0.11;7.38;0.82;66.24;0.0;1.22;104.31.74.181;13335;104.31.64.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.31.75.181;13335;104.31.64.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
tpi.it;12800000;12837672.0;86.21;9.22;102041031;8.64;0.15;1.86;76.13;13.1;0.0;0.11;104.28.2.197;13335;104.28.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.28.3.197;13335;104.28.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
trucchifacebook.com;5600000;5571894.0;89.3;1.61;8010879;40.16;0.44;2.22;4.86;52.31;0.0;0.01;37.139.28.187;200130;37.139.0.0/19;NL;DIGITALOCEAN-ASN-1 , EU;;;;;;;;;;
tudou.com;331300000;331287438.0;0.09;3.23;963052;29.76;0.15;39.44;3.87;26.62;0.0;0.16;123.126.98.150;4808;123.126.64.0/18;CN;CHINA169-BJ China Unicom Beijing Province Network, CN;123.126.98.147;4808;123.126.64.0/18;CN;CHINA169-BJ China Unicom Beijing Province Network, CN;123.126.98.151;4808;123.126.64.0/18;CN;CHINA169-BJ China Unicom Beijing Province Network, CN
turkcealtyazi.org;46100000;46144284.0;0.05;4.95;114207;52.33;0.23;15.2;0.68;31.5;0.0;0.05;104.18.45.61;13335;104.18.32.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.18.44.61;13335;104.18.32.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
tv.com;145900000;145892022.0;0.75;2.3;2516637;37.01;0.35;8.15;1.04;53.38;0.0;0.07;23.23.89.103;14618;23.22.0.0/15;US;AMAZON-AES - Amazon.com, Inc., US;23.23.90.136;14618;23.22.0.0/15;US;AMAZON-AES - Amazon.com, Inc., US;;;;;
tvblog.it;13200000;13223556.0;93.26;2.43;29967460;31.84;0.05;4.74;12.56;50.75;0.0;0.07;54.77.47.85;16509;54.76.0.0/15;US;AMAZON-02 - Amazon.com, Inc., US;52.48.241.167;16509;52.48.0.0/14;US;AMAZON-02 - Amazon.com, Inc., US;;;;;
tvguide.com;186200000;186185832.0;0.19;2.55;902070;59.11;0.7;6.71;3.06;29.13;0.01;1.28;64.30.228.101;6623;64.30.228.0/23;US;CBSI-1 - CBS Interactive Inc., US;;;;;;;;;;
tvmuse.com;90300000;90330264.0;0.42;3.63;1377175;50.28;0.71;33.07;2.11;13.6;0.0;0.24;91.192.111.188;39020;91.192.108.0/22;ES;COMVIVE-AS Madrid - Spain, ES;;;;;;;;;;
tvzvezda.ru;155400000;155374116.0;0.23;1.76;628954;33.66;0.32;50.22;9.61;6.17;0.0;0.02;178.248.234.76;197068;178.248.234.0/23;RU;QRATOR , RU;;;;;;;;;;
tzetze.it;5600000;5594508.0;95.16;2.63;14001419;15.79;0.05;1.6;78.51;3.73;0.0;0.32;151.1.253.10;3242;151.1.224.0/19;IT;ASN-ITNET , IT;;;;;;;;;;
ultimate-guitar.com;352500000;352468380.0;2.51;3.82;33795373;30.87;0.34;7.61;3.91;57.23;0.0;0.04;178.18.22.179;60781;178.18.20.0/22;NL;LEASEWEB-NL Netherlands, NL;;;;;;;;;;
umblr.com;461300000;461294040.0;1.76;1.84;14938546;47.69;0.11;50.12;0.96;0.87;0.0;0.25;72.32.231.8;33070;72.32.0.0/16;US;RMH-14 - Rackspace Hosting, US;;;;;;;;;;
upyim.com;65200000;65244462.0;0.01;1.65;0;2.96;0.0;0.69;93.81;2.2;0.0;0.34;104.28.28.51;13335;104.28.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.28.29.51;13335;104.28.16.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
ustream.tv;131699999;131704998.0;1.29;2.25;3822737;44.04;0.51;17.27;11.0;26.9;0.07;0.21;104.156.85.204;54113;104.156.85.0/24;US;FASTLY - Fastly, US;23.235.33.204;54113;23.235.33.0/24;US;FASTLY - Fastly, US;104.156.81.204;54113;104.156.81.0/24;US;FASTLY - Fastly, US
uzone.id;135100000;135064482.0;0.01;3.79;0;29.65;0.6;56.4;1.89;6.27;0.0;5.19;118.97.116.10;17974;118.97.96.0/19;ID;TELKOMNET-AS2-AP PT Telekomunikasi Indonesia, ID;;;;;;;;;;
vanityfair.it;23800000;23815872.0;89.71;1.84;39312002;13.26;0.56;3.97;34.67;44.32;2.41;0.81;52.51.185.234;16509;52.48.0.0/14;US;AMAZON-02 - Amazon.com, Inc., US;54.194.216.134;16509;54.194.0.0/16;US;AMAZON-02 - Amazon.com, Inc., US;;;;;
vidto.me;244700000;244716762.0;24.98;2.27;138765661;8.63;0.27;76.32;2.01;0.41;0.0;12.36;46.28.203.11;197988;46.28.200.0/21;CH;SOLARCOM , CH;179.43.170.153;51852;179.43.128.0/18;PA;PLI-AS , CH;;;;;
vimeo.com;1200000000;1246292256.0;2.0;4.46;111169269;28.86;3.19;20.52;17.32;29.09;0.67;0.35;104.156.81.217;54113;104.156.81.0/24;US;FASTLY - Fastly, US;104.156.85.217;54113;104.156.85.0/24;US;FASTLY - Fastly, US;23.235.33.217;54113;23.235.33.0/24;US;FASTLY - Fastly, US
vodlocker.com;455100000;455071764.0;0.71;2.72;8788345;13.61;0.34;80.74;1.47;2.47;0.0;1.38;104.25.105.13;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.25.104.13;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
vvvvid.it;12400000;12436452.0;98.74;6.08;74660896;68.82;0.64;6.4;2.12;21.28;0.0;0.74;62.149.128.166;31034;62.149.128.0/19;IT;ARUBA-ASN , IT;;;;;;;;;;
watchseries.li;259899999;259949142.0;0.87;4.8;10855476;33.53;0.62;31.88;1.87;31.88;0.0;0.22;104.31.86.125;13335;104.31.80.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.31.87.125;13335;104.31.80.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
weeb.tv;90100000;90139872.0;0.25;3.44;775202;67.95;0.22;18.28;0.86;12.65;0.0;0.03;199.83.130.107;19551;199.83.130.0/24;US;INCAPSULA - Incapsula Inc, US;149.126.77.100;19551;149.126.77.0/24;IL;INCAPSULA - Incapsula Inc, US;;;;;
wittytv.it;38500000;38535540.0;87.87;3.04;102937984;17.8;0.41;53.92;4.81;22.63;0.0;0.44;217.29.164.121;15788;217.29.160.0/20;IT;EFLUXA Viale del Ghisallo, 20 - 20151 Milano, IT;;;;;;;;;;
xunlei.com;129600000;129557496.0;0.09;3.22;375457;36.18;1.16;45.78;0.61;16.13;0.1;0.04;182.118.18.100;4837;182.112.0.0/12;CN;CHINA169-BACKBONE CNCGROUP China169 Backbone, CN;119.188.108.240;4837;119.176.0.0/12;CN;CHINA169-BACKBONE CNCGROUP China169 Backbone, CN;;;;;
yify-torrent.org;112500000;112469472.0;0.01;4.91;0;57.81;0.49;10.34;0.87;30.36;0.0;0.13;104.28.13.32;13335;104.28.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.28.12.32;13335;104.28.0.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
yify.tv;49600000;49586298.0;0.42;3.43;714340;72.71;0.43;18.62;1.1;6.97;0.0;0.17;104.18.62.185;13335;104.18.48.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.18.63.185;13335;104.18.48.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
youku.com;1300000000;1272481998.0;0.05;3.7;2354091;36.56;0.29;40.23;2.87;19.9;0.13;0.03;119.167.145.19;4837;119.164.0.0/14;CN;CHINA169-BACKBONE CNCGROUP China169 Backbone, CN;183.61.116.211;58466;183.61.96.0/19;CN;CT-GUANGZHOU-IDC CHINANET Guangdong province network, CN;123.126.99.31;4808;123.126.64.0/18;CN;CHINA169-BJ China Unicom Beijing Province Network, CN
youtube-mp3.org;2200000000;2215542306.0;2.16;3.03;145002812;44.16;0.01;0.92;0.33;54.29;0.0;0.3;104.20.94.121;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.20.95.121;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
youtube.com;128500000000;128468870046.0;1.49;11.07;21190040831;45.25;11.14;14.99;5.72;22.72;0.01;0.17;216.58.198.14;15169;216.58.192.0/19;US;GOOGLE - Google Inc., US;;;;;;;;;;
zalukaj.com;167700000;167741376.0;0.1;4.95;830319;50.79;0.19;25.02;1.07;22.84;0.0;0.09;104.31.94.102;13335;104.31.80.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;104.31.95.102;13335;104.31.80.0/20;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
zap2it.com;111300000;111260184.0;0.43;2.3;1100363;58.8;1.39;18.52;3.72;17.54;0.0;0.04;192.0.79.32;2635;192.0.79.0/24;US;AUTOMATTIC - Automattic, Inc, US;192.0.79.33;2635;192.0.79.0/24;US;AUTOMATTIC - Automattic, Inc, US;;;;;
zdf.de;163500000;163498650.0;0.73;3.38;4034165;57.89;0.08;11.85;2.42;27.75;0.0;0.02;91.197.29.78;43354;91.197.28.0/22;DE;ZDF-AS , DE;;;;;;;;;;
zfilm-hd.net;66500000;66534402.0;0.38;2.5;632076;40.43;0.51;22.68;4.21;31.76;0.0;0.42;185.48.56.143;62088;185.48.56.0/22;GB;SINARO-AS , DE;;;;;;;;;;
zhanqi.tv;89200000;89153220.0;0.06;3.56;190431;58.13;0.09;24.82;1.46;15.5;0.0;0.0;112.124.44.92;37963;112.124.0.0/16;CN;CNNIC-ALIBABA-CN-NET-AP Hangzhou Alibaba Advertising Co.,Ltd., CN;;;;;;;;;;
zone-telechargement.com;639600000;639585174.0;0.01;5.54;0;67.11;0.51;18.39;0.74;13.07;0.0;0.19;104.31.156.4;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;104.31.157.4;13335;104.16.0.0/12;US;CLOUDFLARENET - CloudFlare, Inc., US;;;;;
